WGS84 UTM 21S
382144 5817295
7.700775448814966 7.140777595341206 78.47
-24.300514878123067 -28.093654450960457 78.07
9.822949950117618 5.36467307806015 78.57
-0.9924009389360435 -1.3810228295624256 78.27
8.311036406084895 9.631112028844655 79.07
11.979540858068503 13.832978744991124 78.87
-10.302608134574257 -11.918525474146008 78.07
6.721171951387078 7.891273085959256 78.87
-5.604766754899174 -6.644536783918738 78.27
-15.097115614044014 -17.446685121394694 77.97
12.604595827113371 14.264259638264775 78.77
10.824260854627937 12.66966643370688 78.87
6.760839238180779 7.854848102666438 78.57
12.388283112610225 13.992965813726187 78.57
-27.625934237032197 -32.16115180589259 78.27
12.633172768983059 3.0373591417446733 78.67
3.539954911102541 3.8320192638784647 78.37
8.099444456049241 9.030033331364393 78.67
11.737928792019375 13.619894688017666 78.77
-19.922930574743077 -23.00920615531504 77.97
